[IterativeImputer] Change: 0.17423759925069326, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 98/200, elapsed time 470.30
[IterativeImputer] Change: 0.18124505957334414, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 99/200, elapsed time 475.12
[IterativeImputer] Change: 0.15005919894929143, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 100/200, elapsed time 479.84
[IterativeImputer] Change: 0.16514436682417077, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 101/200, elapsed time 484.63
[IterativeImputer] Change: 0.2209081230729879, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 102/200, elapsed time 489.35
[IterativeImputer] Change: 0.18624570476166902, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 103/200, elapsed time 494.16
[IterativeImputer] Change: 0.13102848957186808, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 104/200, elapsed time 498.89
[IterativeImputer] Change: 0.15264923848063106, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 105/200, elapsed time 503.79
[IterativeImputer] Change: 0.15642051688004166, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 106/200, elapsed time 508.62
[IterativeImputer] Change: 0.13066043912927405, scaled tolerance: 0.12083347205999999 
[IterativeImputer] Ending imputation round 107/200, elapsed time 513.41
